Marca,Model,Anul,Kilometrajul,Capacitatea motorului,Tipul de combustibil,Preț
Audi,A1,2015,189 790 km,1 395 cm3,Benzina,10 995
Audi,A1,2010,171 000 km,1 390 cm3,Benzina,7 990
Audi,A1 Sportback,2014,143 000 km,1 197 cm3,Benzina,10 000
Audi,A1,2019,109 000 km,999 cm3,Benzina,16 280
Audi,A1,2021,35 849 km,999 cm3,Benzina,17 490
Audi,A1,2012,199 900 km,1 395 cm3,Benzina,6 490
Audi,A1,2011,199 000 km,1 197 cm3,Benzina,5 450
Audi,A1 Sportback,2013,135 000 km,1 390 cm3,Benzina,10 950
Audi,A1,2020,100 000 km,999 cm3,Benzina,15 450
Audi,A2,2002,297 000 km,1 422 cm3,Diesel,2 390
Audi,A3,2015,219 000 km,1 968 cm3,Diesel,14 389
Audi,A3,2009,198 000 km,1 390 cm3,Benzina,5 800
Audi,A3,2014,115 000 km,1 598 cm3,Diesel,10 990
Audi,A3 Sportback,2019,56 668 km,1 498 cm3,Benzina,24 371
Audi,A3,2023,8 000 km,1 968 cm3,Diesel,35 900
Audi,A3,2017,205 000 km,1 598 cm3,Diesel,14 200
Audi,A3 Sportback,2021,66 948 km,1 498 cm3,Benzina,19 650
Audi,A3,2006,239 523 km,1 896 cm3,Diesel,4 990
Audi,A3,2018,223 000 km,1 968 cm3,Diesel,12 450
Audi,A3,2017,209 000 km,1 598 cm3,Diesel,13 999
Audi,A3,2017,175 000 km,1 968 cm3,Diesel,17 850
Audi,A3,2018,73 000 km,1 498 cm3,Benzina,17 498
Audi,A3,2014,213 900 km,1 968 cm3,Diesel,12 990
Audi,A3 Sportback,2020,205 000 km,1 968 cm3,Diesel,17 690
Audi,A3,2012,234 000 km,1 598 cm3,Diesel,5 990
Audi,A3,2011,258 460 km,1 598 cm3,Diesel,5 990
Audi,A3 Sportback,2010,240 000 km,1 968 cm3,Diesel,6 190
Audi,A3,2007,230 000 km,1 968 cm3,Diesel,3 450
Audi,A3,2014,168 900 km,1 598 cm3,Diesel,12 990
Audi,A3,2012,272 000 km,1 968 cm3,Diesel,5 900
Audi,A3,2003,198 000 km,1 896 cm3,Diesel,1 000
Audi,A3,2019,160 000 km,1 598 cm3,Diesel,15 988
Audi,A3,2018,110 000 km,1 598 cm3,Diesel,15 990
Audi,A3 Sportback,2009,180 000 km,1 595 cm3,Benzina,5 490
Audi,A3,2011,131 000 km,1 598 cm3,Diesel,8 400
Audi,A3 Sportback,2012,229 000 km,1 598 cm3,Diesel,5 700
Audi,A3 Sportback,2019,130 326 km,1 984 cm3,Benzina,17 800
Audi,A3,2010,239 000 km,1 390 cm3,Benzina,7 550
Audi,A4,2006,340 000 km,1 984 cm3,Diesel,2 999
Audi,A4 Avant,2014,204 000 km,1 968 cm3,Diesel,12 950
Audi,A4,2016,209 000 km,1 968 cm3,Diesel,12 950
Audi,A4,2009,273 000 km,1 781 cm3,Benzina,4 899
Audi,A4,2016,135 800 km,1 968 cm3,Diesel,15 499
Audi,A4,2016,66 000 km,1 968 cm3,Diesel,28 500
Audi,A4,2018,144 000 km,1 968 cm3,Diesel,24 500
Audi,A4 Avant,2014,225 000 km,1 968 cm3,Diesel,9 999
Audi,A4,2006,232 000 km,1 984 cm3,Diesel,3 000
Audi,A4,2017,201 000 km,1 984 cm3,Benzina,24 300
Audi,A4,2017,201 000 km,1 984 cm3,Benzina,24 300
Audi,A4 Avant,2020,168 500 km,1 968 cm3,Diesel,27 899
Audi,A4 Avant,2019,196 300 km,1 968 cm3,Diesel,24 400
Audi,A4 Avant,2013,278 000 km,1 968 cm3,Diesel,15 500
Audi,A4,2019,80 000 km,1 984 cm3,Benzina,26 900
Audi,A4,2016,161 000 km,2 967 cm3,Diesel,22 498
Audi,A4 Avant,2019,253 000 km,1 968 cm3,Diesel,17 900
Audi,A4,2017,215 000 km,1 968 cm3,Diesel,16 200
Audi,A4,2011,228 843 km,1 968 cm3,Diesel,7 690
Audi,A4,2006,320 000 km,1 984 cm3,Diesel,3 900
Audi,A4,2018,165 070 km,1 968 cm3,Diesel,19 490
